location_name,horizon,rate_quantile_0.025,rate_quantile_0.5,rate_quantile_0.975,count_quantile_0.025,count_quantile_0.5,count_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.5_rounded,rate_quantile_0.975_rounded,count_quantile_0.025_rounded,count_quantile_0.5_rounded,count_quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
Arkansas,1,NA,NA,NA,4.644632179438412e-4,0.00119000597878866,0.00281744664030388,NA,NA,NA,4.6e-4,0.0012,0.0028,wk inc covid prop ed visits,prop_ed,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Arkansas,2,NA,NA,NA,6.261080756633417e-4,0.00157214156776639,0.00330733771071045,NA,NA,NA,6.3e-4,0.0016,0.0033,wk inc covid prop ed visits,prop_ed,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
California,0,0.2330781226615729,0.4146472679393728,0.64901311503554,90.5,161,252,0.23,0.41,0.65,90,160,250,wk inc covid hosp,hosp,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
California,1,0.23470065544916177,0.46056782424597525,0.808206452066235,91.13,178.8301176373457,313.811880226085,0.23,0.46,0.81,90,180,310,wk inc covid hosp,hosp,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
California,2,0.21779789892809528,0.5077345994284063,0.9658255190566084,84.56696676595587,197.1441194203785,375.0124999999998,0.22,0.51,0.97,80,200,380,wk inc covid hosp,hosp,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
California,0,NA,NA,NA,4.8560477128892503e-4,0.00111169490013316,0.00200633571785386,NA,NA,NA,4.9e-4,0.0011,0.002,wk inc covid prop ed visits,prop_ed,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
California,1,NA,NA,NA,5.126535888645968e-4,0.0012165754435033,0.00249277307581998,NA,NA,NA,5.1e-4,0.0012,0.0025,wk inc covid prop ed visits,prop_ed,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
California,2,NA,NA,NA,4.54991922243027e-4,0.00127004876247386,0.00314123177763149,NA,NA,NA,4.5e-4,0.0013,0.0031,wk inc covid prop ed visits,prop_ed,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Colorado,0,0.01616281376561368,0.11028743510654042,0.3549268950576369,0.9444444444444444,6.444444444444445,20.739503596475057,0.02,0.11,0.35,1,6,20,wk inc covid hosp,hosp,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Colorado,1,0.01521206001469522,0.12119633917663876,0.4379361927480573,0.8888888888888888,7.0818862904861914,25.59,0.02,0.12,0.44,1,7,30,wk inc covid hosp,hosp,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Colorado,2,0.01331055251285832,0.157825122652463,0.6160884305951568,0.7777777777777778,9.22222222222222,36,0.01,0.16,0.62,1,9,40,wk inc covid hosp,hosp,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Colorado,0,NA,NA,NA,2.233952728830496e-4,5.553424114828765e-4,0.00108747819873538,NA,NA,NA,2.2e-4,5.6e-4,0.0011,wk inc covid prop ed visits,prop_ed,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Colorado,1,NA,NA,NA,2.1701596665553956e-4,6.184273006226403e-4,0.00165350205595644,NA,NA,NA,2.2e-4,6.2e-4,0.0017,wk inc covid prop ed visits,prop_ed,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Colorado,2,NA,NA,NA,2.2756469132462112e-4,7.493650418286516e-4,0.00197389201842759,NA,NA,NA,2.3e-4,7.5e-4,0.002,wk inc covid prop ed visits,prop_ed,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Connecticut,0,0.02768300960821897,0.18513489216473297,0.5814816168206397,1,6.687672142040768,21.005000000000003,0.03,0.19,0.58,1,7,20,wk inc covid hosp,hosp,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
