location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.10,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.90,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.10_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.90_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.10,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.90,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.10_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.90_rounded,rate_quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
Texas,TX,2,wk inc covid hosp,hosp,2025-07-05,2025-07-19,CovidHub-baseline,42.00016150161506,119.879911799118,190.65044400444003,269,347.36900869008696,418.1539685396855,495.83006530065296,40,120,190,270,350,420,500,0.13819882187146895,0.39445711598172417,0.6273229865954898,0.8851271460467031,1.1429953133343087,1.375908657180798,1.6314968424673508,0.14,0.39,0.63,0.89,1.14,1.38,1.63,CovidHub-hub-models,2025-07-02,CovidHub baseline model
Texas,TX,0,wk inc covid prop ed visits,prop_ed,2025-07-05,2025-07-05,CovidHub-baseline,0,0.0031000000000000016,0.0051,0.0062,0.00729999999999999,0.009300000000000003,0.01287499999999999,0,0.0031,0.0051,0.0062,0.0073,0.0093,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CovidHub-hub-models,2025-07-02,CovidHub baseline model
Texas,TX,1,wk inc covid prop ed visits,prop_ed,2025-07-05,2025-07-12,CovidHub-baseline,0,0.0011999999999999988,0.00409999999999999,0.0062,0.0083,0.011289250292502924,0.01495458599585996,0,0.0012,0.0041,0.0062,0.0083,0.011,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CovidHub-hub-models,2025-07-02,CovidHub baseline model
Texas,TX,2,wk inc covid prop ed visits,prop_ed,2025-07-05,2025-07-19,CovidHub-baseline,0,1.1358683586835825e-4,0.00334789772897728,0.0062,0.0091,0.01244045240452405,0.0163389808898089,0,1.1e-4,0.0033,0.0062,0.0091,0.012,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CovidHub-hub-models,2025-07-02,CovidHub baseline model
Texas,TX,0,wk inc covid hosp,hosp,2025-07-05,2025-07-05,CovidHub-ensemble,155.452,198.456544657019,253.026082209344,280.918488576259,359.644795376336,408.814138680039,477.821506097535,160,200,250,280,360,410,480,0.5115047773503795,0.6530084571990977,0.8325660000793127,0.9243441638113661,1.183387997479579,1.3451765495665575,1.5722408401927452,0.51,0.65,0.83,0.92,1.18,1.35,1.57,CovidHub,2025-07-02,Ensemble model using CovidHub submissions
Texas,TX,1,wk inc covid hosp,hosp,2025-07-05,2025-07-12,CovidHub-ensemble,141.155500757107,212.9,245.551082209344,283.5030565574,390.768612399545,458.074361294068,525.197394583516,140,210,250,280,390,460,530,0.46446306889937305,0.7005337152168887,0.8079699948127733,0.9328485180154963,1.2857989095086972,1.5072641341612816,1.7281281449028687,0.46,0.7,0.81,0.93,1.29,1.51,1.73,CovidHub,2025-07-02,Ensemble model using CovidHub submissions
Texas,TX,2,wk inc covid hosp,hosp,2025-07-05,2025-07-19,CovidHub-ensemble,112.728352072763,187.285615420262,220,268.491030298218,371.76605940112,536.146171876086,578.842164213697,110,190,220,270,370,540,580,0.3709253700695638,0.6162512352138917,0.7238958071757422,0.883452414078069,1.2232722347759941,1.7641543902473795,1.9046427985946712,0.37,0.62,0.72,0.88,1.22,1.76,1.9,CovidHub,2025-07-02,Ensemble model using CovidHub submissions
Texas,TX,0,wk inc covid hosp,hosp,2025-07-05,2025-07-05,MOBS-GLEAM_COVID,154.204,166.938,183.626,208.73,244.513,280.834,324.196,150,170,180,210,240,280,320,0.5073983138624008,0.5492987193559274,0.6042095067656947,0.6868125992354212,0.8045542522725557,0.9240661596017836,1.0667460231961223,0.51,0.55,0.6,0.69,0.8,0.92,1.07,MOBS Lab at Northeastern University,2025-07-02,GLEAM COVID-19 Forecasting Model
Texas,TX,1,wk inc covid hosp,hosp,2025-07-05,2025-07-12,MOBS-GLEAM_COVID,121.545,138.968,158.969,184.978,225.206,278.863,343.996,120,140,160,180,230,280,340,0.3999359812871618,0.4572652387799933,0.5230772389587298,0.6086581755443384,0.74102581432191,0.9175807112565865,1.131896645841939,0.4,0.46,0.52,0.61,0.74,0.92,1.13,MOBS Lab at Northeastern University,2025-07-02,GLEAM COVID-19 Forecasting Model
Texas,TX,2,wk inc covid hosp,hosp,2025-07-05,2025-07-19,MOBS-GLEAM_COVID,97.082,117.014,138.482,166.975,208.579,290.542,372.991,100,120,140,170,210,290,370,0.31944205796470637,0.38502701809482864,0.4556660871332324,0.5494204654689525,0.6863157434768598,0.9560097073111568,1.227302822792215,0.32,0.39,0.46,0.55,0.69,0.96,1.23,MOBS Lab at Northeastern University,2025-07-02,GLEAM COVID-19 Forecasting Model
Texas,TX,0,wk inc covid hosp,hosp,2025-07-05,2025-07-05,NEU_ISI-AdaptiveEnsemble,88,99,121,168,370,496,564,90,100,120,170,370,500,560,0.28955832287029687,0.325753113229084,0.39814269394665824,0.5527931618432941,1.217461130250112,1.6320560016325827,1.8558056147596302,0.29,0.33,0.4,0.55,1.22,1.63,1.86,MOBS Lab at Northeastern University and ISI Foundation,2025-07-02,Adaptive Ensemble
Texas,TX,1,wk inc covid hosp,hosp,2025-07-05,2025-07-12,NEU_ISI-AdaptiveEnsemble,66,78,96,178,454,603,718,70,80,100,180,450,600,720,0.21716874215272267,0.25665396799867224,0.3158818067675966,0.5856975167149188,1.493857711171759,1.9841325987589664,2.3625326797826496,0.22,0.26,0.32,0.59,1.49,1.98,2.36,MOBS Lab at Northeastern University and ISI Foundation,2025-07-02,Adaptive Ensemble
Texas,TX,2,wk inc covid hosp,hosp,2025-07-05,2025-07-19,NEU_ISI-AdaptiveEnsemble,51,62,77,171,573,744,925,50,60,80,170,570,740,930,0.1678122098452857,0.20400700020407284,0.2533635325115098,0.5626644683047815,1.8854195341440922,2.4480840024488737,3.04365282562528,0.17,0.2,0.25,0.56,1.89,2.45,3.04,MOBS Lab at Northeastern University and ISI Foundation,2025-07-02,Adaptive Ensemble
