week_ending_date,location,location_name,target,target_data_type,count_value,rate_value
2024-12-07,16,Idaho,wk inc rsv hosp,hosp,5,0.25
2024-12-07,17,Illinois,wk inc rsv hosp,hosp,264,2.11
2024-12-07,18,Indiana,wk inc rsv hosp,hosp,73,1.06
2024-12-07,20,Kansas,wk inc rsv hosp,hosp,14,0.48
2024-12-07,21,Kentucky,wk inc rsv hosp,hosp,96,2.13
2024-12-07,22,Louisiana,wk inc rsv hosp,hosp,171,3.75
2024-12-07,25,Massachusetts,wk inc rsv hosp,hosp,167,2.39
2024-12-07,24,Maryland,wk inc rsv hosp,hosp,125,2.03
2024-12-07,23,Maine,wk inc rsv hosp,hosp,2,0.14
2024-12-07,26,Michigan,wk inc rsv hosp,hosp,139,1.39
2024-12-07,27,Minnesota,wk inc rsv hosp,hosp,48,0.84
2024-12-07,29,Missouri,wk inc rsv hosp,hosp,88,1.42
2024-12-07,28,Mississippi,wk inc rsv hosp,hosp,108,3.69
2024-12-07,30,Montana,wk inc rsv hosp,hosp,0,0
2024-12-07,37,North Carolina,wk inc rsv hosp,hosp,167,1.56
2024-12-07,38,North Dakota,wk inc rsv hosp,hosp,1,0.13
2024-12-07,31,Nebraska,wk inc rsv hosp,hosp,7,0.35
2024-12-07,33,New Hampshire,wk inc rsv hosp,hosp,19,1.36
2024-12-07,34,New Jersey,wk inc rsv hosp,hosp,290,3.12
2024-12-07,35,New Mexico,wk inc rsv hosp,hosp,9,0.43
2024-12-07,32,Nevada,wk inc rsv hosp,hosp,29,0.91
2024-12-07,36,New York,wk inc rsv hosp,hosp,725,3.71
2024-12-07,39,Ohio,wk inc rsv hosp,hosp,285,2.42
2024-12-07,40,Oklahoma,wk inc rsv hosp,hosp,25,0.62
2024-12-07,41,Oregon,wk inc rsv hosp,hosp,14,0.33
2024-12-07,42,Pennsylvania,wk inc rsv hosp,hosp,350,2.7
2024-12-07,72,Puerto Rico,wk inc rsv hosp,hosp,463,14.09
2024-12-07,44,Rhode Island,wk inc rsv hosp,hosp,48,4.39
2024-12-07,45,South Carolina,wk inc rsv hosp,hosp,157,2.94
2024-12-07,46,South Dakota,wk inc rsv hosp,hosp,0,0
2024-12-07,47,Tennessee,wk inc rsv hosp,hosp,156,2.2
2024-12-07,48,Texas,wk inc rsv hosp,hosp,876,2.88
2024-12-07,US,United States,wk inc rsv hosp,hosp,7001,2.07
2024-12-07,49,Utah,wk inc rsv hosp,hosp,15,0.44
2024-12-07,51,Virginia,wk inc rsv hosp,hosp,104,1.21
2024-12-07,50,Vermont,wk inc rsv hosp,hosp,5,0.77
2024-12-07,53,Washington,wk inc rsv hosp,hosp,71,0.91
2024-12-07,55,Wisconsin,wk inc rsv hosp,hosp,33,0.56
2024-12-07,54,West Virginia,wk inc rsv hosp,hosp,17,0.96
